78.108.177.51 - - [19/Jun/2023:00:11:55 +0000] "GET / HTTP/1.0" 200 443
167.248.133.125 - - [19/Jun/2023:01:27:33 +0000] "GET / HTTP/1.1" 200 443
167.248.133.125 - - [19/Jun/2023:01:27:33 +0000] "GET / HTTP/1.1" 200 443
167.248.133.125 - - [19/Jun/2023:01:27:34 +0000] "GET /favicon.ico HTTP/1.1" 404 762
198.235.24.22 - - [19/Jun/2023:02:15:41 +0000] "-" 400 3393
61.254.25.121 - - [19/Jun/2023:03:02:57 +0000] "GET /healthpartnerWeb/html/header.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:02:57 +0000] "GET /healthpartnerWeb/source/logo_wide.png HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:02:57 +0000] "GET /healthpartnerWeb/css/header.css HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:02:57 +0000] "GET /healthpartnerWeb/js/header.js HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:02:58 +0000] "GET /healthpartnerWeb/index.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:02:58 +0000] "GET /healthpartnerWeb/css/mainPage.css HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:02:58 +0000] "GET /healthpartnerWeb/source/partner_image.jpeg HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:02:58 +0000] "GET /healthpartnerWeb/js/mainPage.js HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:02:58 +0000] "GET /healthpartnerWeb/index.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:02:59 +0000] "GET /healthpartnerWeb/index.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:03:00 +0000] "GET /healthpartnerWeb/html/boardPage.html HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:03:00 +0000] "GET /healthpartnerWeb/css/boardPage.css HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:03:00 +0000] "GET /healthpartnerWeb//js/boardPage.js HTTP/1.1" 200 1122
61.254.25.121 - - [19/Jun/2023:03:03:00 +0000] "GET /healthpartnerWeb/html/sideBar.html HTTP/1.1" 200 538
61.254.25.121 - - [19/Jun/2023:03:03:00 +0000] "GET /healthpartnerWeb/js/sideBar.js HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:03:00 +0000] "GET /healthpartnerWeb/css/sideBar.css HTTP/1.1" 304 -
61.254.25.121 - - [19/Jun/2023:03:03:01 +0000] "GET /healthpartnerWeb/html/writePostPage.html HTTP/1.1" 200 837
61.254.25.121 - - [19/Jun/2023:03:03:01 +0000] "GET /healthpartnerWeb/css/writePostPage.css HTTP/1.1" 200 -
